source_id,rq_id,population,event,age_range,sex,maturity,training_age,competitive_level,season,intervention,comparator,component_dose,component_order,separation_hours,target_interval_hours,actual_interval_hours,outcome_domain,outcome_measure,instrument_protocol,time_horizon,time_points,missingness,adverse_events,effect_estimate,uncertainty,individual_response,limitations,reviewer_1,reviewer_2,adjudication
"FRV2-F-011","RQ-F","Healthcare decision-support methods; no youth-sport population","AI_DECISION_SUPPORT","NOT_APPLICABLE","ALL","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","DECIDE-AI early-stage reporting guideline","Incomplete reporting of actual workflow and human-system interaction","Seventeen AI-specific and ten generic reporting items","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","PROCESS_FIDELITY;ERRORS;HUMAN_SYSTEM_INTERACTION","System version; roles; modifications; errors; deviations; workflow interaction","Delphi and consensus reporting-guideline development","NOT_APPLICABLE","NOT_APPLICABLE","Missing reporting is an audit concern; no study-level missingness estimate","Errors and deviations are reporting items rather than safety outcomes","Supports version freezing and logging of roles failures and deviations while coach authority remains explicit","Reporting guideline; no effect estimate or conduct threshold","NOT_APPLICABLE","Clinical setting differs from sport; reporting quality is not proof of benefit safety or efficacy","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-012","RQ-F","75 prospective noninterventional healthcare evaluations","SHADOW_OR_SILENT_EVALUATION","NOT_APPLICABLE","ALL","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","Prospective silent or shadow evaluation generating outputs without influencing care","Usual clinical care remains authoritative","Seventy-five included evaluations with heterogeneous implementations","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","PARALLEL_EVALUATION;HUMAN_FACTORS;REPORTING","Output logging; influence on care; nomenclature; user and consumer involvement","Scoping review of English-language reports from 2015-2025","2015_TO_2025_LITERATURE","STUDY_SPECIFIC","Human factors and patient or consumer engagement were sparsely reported","Adverse events were not synthesized as a product safety outcome","Silent trials commonly generated parallel outputs without influencing care; visibility varied","Heterogeneous terminology and reporting; one screened-total inconsistency retained as limitation","Human and consumer visibility varied between evaluations","Healthcare indirectness; not an efficacy or safety test; TRAINORACLE must be participant-visible and cannot claim a conventional concealed silent trial","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-013","RQ-F","Children and adolescents in health-related research","ASSENT;PERMISSION;WITHDRAWAL","CHILD;ADOLESCENT","ALL","AGE_AND_MATURITY_TAILORING","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","CIOMS Guideline 17 on age-appropriate assent permission and withdrawal","No universal local-law comparator","Ongoing assent with required parental or legal permission according to context","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","ETHICS;COMPREHENSION;WITHDRAWAL","Age- and maturity-tailored information; refusal; continuing assent; re-consent at majority","Official international ethics guidance","ONGOING_PARTICIPATION","ENROLMENT_AND_CONTINUING","NOT_APPLICABLE","Protection from research harm is an ethics obligation; not an observed adverse-event rate","Refusal or withdrawal should be respected and penalty-free; local ethics and legal determination is required before recruitment","Guidance rather than empirical outcome evidence; jurisdiction determines implementation","Understanding and willingness must be assessed individually rather than inferred from age","Global guidance is not local approval or recruitment authority; supplies no efficacy safety or product identity claim","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-014","RQ-F","Children in research","CONSENT;ASSENT;WITHDRAWAL","CHILD","ALL","AGE_AND_UNDERSTANDING_TAILORING","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","UK Health Research Authority public guidance for research involving children","No universal cross-jurisdiction comparator","Age-appropriate information and respect for refusal or withdrawal","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","ETHICS;COMPREHENSION;WITHDRAWAL","Understanding; presentation; assent; refusal and withdrawal","Official UK public guidance","ONGOING_PARTICIPATION","ENROLMENT_AND_CONTINUING","NOT_APPLICABLE","Protection obligations described; no observed adverse-event rate","Comprehension should be maximized and tested; withdrawal must be respected","Guidance rather than empirical estimate","Understanding and assent are individual and ongoing","UK-specific; not project approval or universal law; no efficacy safety recruitment or product-identity authority","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-G-002","RQ-G","Children and adolescent athletes","YOUTH_SPORT","CHILD;ADOLESCENT","ALL","GROWTH_RETAINED_AS_CONTEXT","NOT_REPORTED","VARIED_YOUTH_ATHLETES","NOT_REPORTED","Clinical review of overuse injury overtraining and burnout in young athletes","No prediction-model comparator","Repetitive stress and recovery considered at individual clinical level","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","PAIN;FUNCTION;OVERUSE_CONCERN;HUMAN_HANDOFF","Progression of pain after activity during activity with limitation and at rest; sleep fatigue and mood concerns","AAP clinical report; clinical assessment remains with qualified professionals","NOT_APPLICABLE","SYMPTOM_AND_CLINICAL_CONTEXT_SPECIFIC","NOT_APPLICABLE","Overuse injuries and burnout are clinical outcomes; no product adverse-event rate","Any explicit current pain functional limitation or suspected overuse concern supports candidate suppression and clinical review","Individual variation emphasized; no validated software threshold","NOT_REPORTED","Clinical guidance rather than prediction model; not runner-only; cannot diagnose overtraining classify benign pain prescribe rest or establish safety","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-G-006","RQ-G","Adolescent and adult female athletes","ENERGY_DEFICIENCY;REPRODUCTIVE_FUNCTION;BONE_HEALTH","ADOLESCENT;ADULT","FEMALE","ADOLESCENT_MODEL_EXPLICIT","NOT_REPORTED","VARIED_FEMALE_ATHLETES","NOT_REPORTED","Updated Female Athlete Triad state-of-science model","Earlier Triad model and broader RED-S construct context","Energy deficiency reproductive function bone health and bone-stress injury integrated clinically","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","CLINICAL_CONCERN_BOUNDARY;BONE_HEALTH","Energy-deficiency reproductive-function bone-health and bone-stress-injury domains; uncertainty of recovery","Consensus and state-of-science review requiring clinical measurement and interpretation","NOT_APPLICABLE","CLINICAL_CONTEXT_SPECIFIC","NOT_APPLICABLE","Bone-stress injury is a clinical outcome; adverse events not synthesized for product use","Sex-specific evidence supports an optional structured concern route but no automated label score or restriction","Complete bone-health recovery remains uncertain; evidence is construct- and measure-dependent","NOT_REPORTED","Female-specific clinical construct; no product validation; cannot infer concern from sex weight pace training data or private-note text","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-G-007","RQ-G","Adolescent and adult female athletes","TRIAD_SCREENING;CLINICAL_MANAGEMENT;RETURN_TO_PLAY","ADOLESCENT;ADULT","FEMALE","ADOLESCENT_GUIDANCE_EXPLICIT","NOT_REPORTED","VARIED_FEMALE_ATHLETES","NOT_REPORTED","Clinical screening diagnosis treatment and return-to-play consensus guidance","Prior threshold-oriented approaches","Multidisciplinary clinical assessment; no universal single energy-availability threshold","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","CLINICAL_HANDOFF;RETURN_TO_PLAY_NON_CLAIM","Clinical screening diagnosis treatment and participation decisions","Consensus guideline dependent on medical data and multidisciplinary interpretation","NOT_APPLICABLE","CLINICAL_CONTEXT_SPECIFIC","Unanswered required structured concern is unresolved rather than negative","Clinical outcomes discussed; no product adverse-event rate","Explicit concern or unresolved required answer may suppress a candidate and route to a human; no threshold point system or return-to-play automation","Clinical risk categories are not consumer-software validated and no universal threshold applies","NOT_REPORTED","Female-specific and medical-data dependent; no automated menstrual body-mass energy or return-to-play rule; no safety or readiness inference","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-G-008","RQ-G","Adolescent and young adult male athletes; especially endurance and weight-class sports","ENERGY_DEFICIENCY;BONE_HEALTH;RETURN_TO_PLAY","ADOLESCENT;YOUNG_ADULT","MALE","ADOLESCENT_BONE_ACCRUAL_RETAINED","NOT_REPORTED","ENDURANCE_AND_LEAN_PHYSIQUE_ATHLETES","NOT_REPORTED","Male Athlete Triad clinical consensus","Assumption that male sex is protective","Multidisciplinary screening diagnosis treatment and return-to-play framework","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","CLINICAL_CONCERN_BOUNDARY;BONE_HEALTH","Energy deficiency reproductive-axis suppression impaired bone health and participation decisions","Abstract-limited coalition consensus","NOT_APPLICABLE","CLINICAL_CONTEXT_SPECIFIC","Full-text details not available in this lane","Clinical outcomes discussed; adverse-event frequencies not available","Male athletes can experience the Triad domains; the same non-diagnostic concern and referral path applies across sexes","Smaller male evidence base and consensus extrapolation; no validated youth-running classifier","NOT_REPORTED","Abstract-only; cannot automate screening diagnosis score or return-to-play; sex cannot clear or restrict a candidate","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-G-009","RQ-G","Healthy children and adolescents","SLEEP_DURATION","4_MONTHS_TO_18_YEARS","ALL","AGE_BANDS_RETAINED","NOT_APPLICABLE","GENERAL_PEDIATRIC_POPULATION","NOT_REPORTED","Age-banded regular sleep-duration consensus","No athlete-session clearance comparator","Ages 6-12: 9-12 hours regularly; ages 13-18: 8-10 hours regularly","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","GENERAL_SLEEP_GUIDANCE;NON_READINESS_BOUNDARY","Regular sleep duration associated with general health","Modified RAND consensus process","REGULAR_SLEEP","AGE_BAND_RECOMMENDATIONS","NOT_APPLICABLE","NOT_APPLICABLE","Consensus ranges support general health only; persistent concern may route to a human","Consensus recommendations are not athlete injury recovery or session-clearance thresholds","NOT_REPORTED","General paediatric rather than athlete evidence; one night cannot become injury prediction readiness medical stop or clearance","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-G-010","RQ-G","Athletes with acute respiratory infection","ACUTE_RESPIRATORY_ILLNESS;RETURN_TO_SPORT","BROAD_ATHLETE_AGE_RANGE","ALL","NOT_REPORTED","NOT_REPORTED","VARIED_ATHLETES","NOT_REPORTED","IOC clinical assessment and return-to-sport framework","Consumer symptom checker or elapsed-time clearance","Infection severity athlete health risk activity risk and symptom monitoring considered clinically","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","ILLNESS_CONCERN;CLINICAL_HANDOFF","Current illness; fever or chills; chest pain; breathing difficulty; fainting; severe or unusual fatigue","Abstract and accessible publisher sections of IOC consensus; clinician-led assessment","ILLNESS_EPISODE","ONGOING_SYMPTOM_MONITORING","Full-text detail limited in this extraction lane","Clinical illness outcomes discussed; no product adverse-event rate","Any explicit illness or listed serious concern suppresses candidate generation and routes to qualified care","Broad population and respiratory focus; no validated consumer threshold","NOT_REPORTED","Youth runner directness low; no diagnosis severity grading neck-check myocarditis inference treatment or return-to-sport algorithm","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-G-011","RQ-G","Adolescent athletes ages 12-18","ADOLESCENT_SPORT;INJURY;ILLNESS;RETURN_TO_SPORT","12-18_YEARS","ALL","GROWTH_AND_DEVELOPMENT_RETAINED","NOT_REPORTED","SCHOOL_INTRAMURAL_AND_SPECIALIZED_SPORT","NOT_REPORTED","Team-physician consensus for adolescent athlete health","Product-led maturity or medical clearance","Growth development medical musculoskeletal psychological overtraining and return-to-sport assessment","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","TRANSFER_BOUNDARY;CLINICAL_HANDOFF","Age and development scope; medical and musculoskeletal concern; psychological and overtraining context","Abstract-limited multidisciplinary consensus","NOT_APPLICABLE","CLINICAL_CONTEXT_SPECIFIC","Full text not retrieved in this lane","Clinical outcomes discussed; no product adverse-event estimate","Unknown age or development context and any health concern require qualified human review","Consensus not prediction model; children under 12 explicitly outside scope","NOT_REPORTED","Abstract-only; cannot estimate maturity diagnose or substitute for team physician; under-12 transfer unresolved","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-G-012","RQ-G","Athletes across ages and levels; children and youth explicitly considered","SAFEGUARDING;INTERPERSONAL_VIOLENCE","ALL_AGES","ALL","CHILD_AND_YOUTH_STATUS_RETAINED","NOT_APPLICABLE","ALL_LEVELS","NOT_REPORTED","Athlete-centred whole-system trauma- and violence-informed safeguarding framework","Model classification or default coach disclosure","Forty-three consensus statements plus accessible response mechanisms","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SAFEGUARDING;HUMAN_SUPPORT;WITHDRAWAL","Accessible response route; trained safeguarding lead; athlete-centred response; local duties","Scoping review plus Delphi consensus","ONGOING","CONCERN_OR_SUPPORT_REQUEST","Narrative disclosure is not required and remains outside planner; route metadata only after privacy approval","Interpersonal violence and maltreatment are safeguarding harms; no automated adverse-event estimate","A visible REQUEST_HUMAN_SUPPORT or structured concern must route outside the planner to a trained human","Several statements lacked consensus; legal and reporting duties vary by jurisdiction","Participant choice concern context and route needs vary","Complex partly subjective domain; no abuse classification credibility score coach disclosure by default or plan input; private note is zero-signal","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-G-013","RQ-G","Children participating in sport from grassroots through elite","CHILD_SAFEGUARDING","CHILD","ALL","CHILD_STATUS_EXPLICIT","NOT_APPLICABLE","GRASSROOTS_TO_ELITE","NOT_REPORTED","Eight international organizational safeguards for children in sport","No safeguarding owner or untested software-only route","Policy concern-response procedures support risk management behaviour recruitment training partnerships and monitoring","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SAFEGUARDING_SYSTEM_READINESS","Named owner; tested response procedure; advice and support; monitoring","Official organizational standard","ONGOING","ORGANIZATIONAL_AND_CONCERN_EVENTS","NOT_APPLICABLE","Safeguarding harms are in scope but no empirical event-rate estimate is supplied","A real named safeguarding owner and tested procedure are prerequisites; software cannot be the safeguarding officer","Organizational standard rather than outcome study; jurisdiction-specific implementation","NOT_REPORTED","Empirical authority lower than systematic review; no automated classification notification or cross-jurisdiction reporting rule","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-G-014","RQ-G","Elite youth athletes across 30 eligible pathway studies","GROWTH;MATURATION;INJURY","YOUTH","ALL","PRIMARY_EXPOSURE","NOT_REPORTED","ELITE_PATHWAYS","NOT_REPORTED","Observed growth and maturation exposures in elite youth pathways","Different maturity and growth definitions across studies","Thirty eligible studies with heterogeneous maturity and injury methods","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","GROWTH_MATURATION_ASSOCIATION;TRANSFER","Injury incidence and burden by maturity status; growth-spurt timing; stature and lower-limb growth rate","Scoping review with heterogeneous study definitions","STUDY_SPECIFIC","STUDY_SPECIFIC","Female athletes and sport diversity underrepresented; outcome reporting heterogeneous","Injury outcomes synthesized descriptively; no product adverse-event estimate","Incidence or burden generally increased with maturity status; growth-related injuries peaked around growth spurt; faster growth associated with greater incidence or burden; maturity timing inconsistent","No pooled product threshold; heterogeneous samples measures and definitions","Associations differed by maturity measure sport and study","Mixed-sport elite pathways; association cannot estimate individual maturity injury probability clearance or safety","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
