candidate_id,title,year,source_type,doi,pmid,url,primary_rq,directness,eligibility,claim_impact,human_screening_state
"CCH-D-003","Statistical Primer for Athletic Trainers: The Essentials of Understanding Measures of Reliability and Minimal Important Change","2018","METHODS_REVIEW","10.4085/1062-6050-503-16","29332472","https://pubmed.ncbi.nlm.nih.gov/29332472/","RQ-D;RQ-E","METHOD_ONLY","INCLUDE_CANDIDATE","Supports metric-specific measurement error and minimal detectable change; does not validate a readiness threshold","PENDING_HUMAN_SCREENING"
"CCH-E-001","What Works Clearinghouse Procedures and Standards Handbook Version 5.0","2022","GOVERNMENT_METHOD_STANDARD","NOT_ASSIGNED","NOT_ASSIGNED","https://ies.ed.gov/ncee/wwc/handbooks","RQ-E","METHOD_ONLY","INCLUDE_CANDIDATE","Updates official single-case design standards; no universal observation count for uncontrolled athlete diaries","PENDING_HUMAN_SCREENING"
"CCH-E-002","Examining and Enhancing the Methodological Quality of Nonconcurrent Multiple-Baseline Designs","2022","METHODS_COMMENTARY","10.1007/s40614-022-00341-2","36249170","https://pubmed.ncbi.nlm.nih.gov/36249170/","RQ-E","METHOD_ONLY","INCLUDE_CANDIDATE","Requires replication and randomization upgrades; weakens causal claims from simple before-after athlete logs","PENDING_HUMAN_SCREENING"
"CCH-E-003","Single-case experimental designs to assess intervention effectiveness in rehabilitation: A practical guide","2018","METHODS_GUIDE","10.1016/j.rehab.2017.12.002","29253607","https://pubmed.ncbi.nlm.nih.gov/29253607/","RQ-E","METHOD_ONLY","INCLUDE_CANDIDATE","Supports repeated measurement sequential introduction fidelity and design-specific analysis; no sport-specific minimum n","PENDING_HUMAN_SCREENING"
"CCH-E-004","Combining nonoverlap and trend for single-case research: Tau-U","2011","STATISTICAL_METHOD_DEVELOPMENT","10.1016/j.beth.2010.08.006","21496513","https://pubmed.ncbi.nlm.nih.gov/21496513/","RQ-E","METHOD_ONLY","CONTEXT_ONLY_CANDIDATE","Offers one trend-aware effect-size method but does not solve carryover confounding or design weakness","PENDING_HUMAN_SCREENING"
"CCH-F-001","A new framework for developing and evaluating complex interventions: update of Medical Research Council guidance","2021","GOVERNMENT_METHOD_GUIDANCE","10.1136/bmj.n2061","34593508","https://pubmed.ncbi.nlm.nih.gov/34593508/","RQ-F","METHOD_ONLY","INCLUDE_CANDIDATE","Supports iterative feasibility context and stakeholder evaluation before effectiveness claims","PENDING_HUMAN_SCREENING"
"CCH-F-002","Applying Human Factors and Usability Engineering to Medical Devices","2016","GOVERNMENT_USABILITY_GUIDANCE","NOT_ASSIGNED","NOT_ASSIGNED","https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/human-factors-and-medical-devices","RQ-F","USER_WORKFLOW_INDIRECT","CONTEXT_ONLY_CANDIDATE","Supports use-error analysis and representative-user testing; TRAINORACLE is not thereby classified as a medical device","PENDING_HUMAN_SCREENING"
"CCH-F-003","Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension","2020","CONSENSUS_REPORTING_GUIDELINE","10.1038/s41591-020-1034-x","32908283","https://pubmed.ncbi.nlm.nih.gov/32908283/","RQ-F","METHOD_ONLY","CONTEXT_ONLY_CANDIDATE","Adds algorithm version human interaction and error reporting for later comparative trials; not a pilot conduct standard","PENDING_HUMAN_SCREENING"
"CCH-F-004","FUTURE-AI: international consensus guideline for trustworthy and deployable artificial intelligence in healthcare","2025","CONSENSUS_GUIDELINE","10.1136/bmj-2024-081554","39909534","https://pubmed.ncbi.nlm.nih.gov/39909534/","RQ-F","USER_WORKFLOW_INDIRECT","CONTEXT_ONLY_CANDIDATE","Reinforces end-user involvement traceability usability oversight and lifecycle monitoring; no sport prescription efficacy","PENDING_HUMAN_SCREENING"
"CCH-G-001","Week-to-week changes in training were not prospectively associated with injuries among Wisconsin high school cross-country runners","2026","PROSPECTIVE_COHORT","10.1136/ip-2024-045233","39084699","https://pubmed.ncbi.nlm.nih.gov/39084699/","RQ-G","DIRECT_YOUTH_RUNNING","INCLUDE_CANDIDATE","Directly contradicts automatic injury-risk rules based only on weekly volume duration intensity or training-stress change","PENDING_HUMAN_SCREENING"
"CCH-G-002","Changes in Sleep Stress and Fatigue Were Not Prospectively Associated With Running-Related Injuries Among High School Cross Country Runners","2024","PROSPECTIVE_COHORT","10.1177/19417381231217347","38148661","https://pubmed.ncbi.nlm.nih.gov/38148661/","RQ-G","DIRECT_YOUTH_RUNNING","INCLUDE_CANDIDATE","Directly blocks converting short-term self-report changes into an injury prediction or clearance score","PENDING_HUMAN_SCREENING"
"CCH-G-003","Prevalence and burden of health problems in competitive adolescent distance runners: A 6-month prospective cohort study","2021","PROSPECTIVE_COHORT","10.1080/02640414.2021.1874160","33504281","https://pubmed.ncbi.nlm.nih.gov/33504281/","RQ-G","DIRECT_ADOLESCENT_DISTANCE_RUNNING","INCLUDE_CANDIDATE","Supports participant-visible concern capture and handoff because athletes may train while health problems are present; no causal threshold","PENDING_HUMAN_SCREENING"
"CCH-G-004","Co-creation of injury prevention measures for competitive adolescent distance runners: knowledge behavior and needs of athletes and coaches enrolled on England Athletics' Youth Talent Programme","2024","CROSS_SECTIONAL_CO_CREATION_STUDY","10.1080/07853890.2024.2334907","38599225","https://pubmed.ncbi.nlm.nih.gov/38599225/","RQ-F;RQ-G","DIRECT_ADOLESCENT_DISTANCE_RUNNING_USERS","INCLUDE_CANDIDATE","Supports athlete-coach co-design and context-specific delivery; does not validate an automated safety rule","PENDING_HUMAN_SCREENING"
