source_id,field,lane_1_value,lane_2_value,conservative_value,human_confirmation
FRV2-A-016,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-A-016,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-A-017,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-A-017,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-B-001,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
FRV2-B-002,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
FRV2-B-005,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-B-009,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-B-011,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-B-013,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-B-014,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-C-002,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
FRV2-C-003,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
FRV2-C-004,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
FRV2-C-007,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-C-007,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-C-010,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-C-010,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-C-011,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-C-012,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-C-013,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-C-015,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-D-002,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-007,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-D-008,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-D-012,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-D-013,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-D-016,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-017,overall_judgment,LOW_CONCERN,SOME_CONCERNS,SOME_CONCERNS,PENDING_HUMAN
FRV2-D-017,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-019,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-019,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-020,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-024,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-E-001,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-001,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-003,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-003,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-006,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-006,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-007,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-007,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-009,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-009,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-010,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-010,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-011,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-011,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-013,overall_judgment,LOW_CONCERN,SOME_CONCERNS,SOME_CONCERNS,PENDING_HUMAN
FRV2-E-013,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-013,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-014,overall_judgment,LOW_CONCERN,SOME_CONCERNS,SOME_CONCERNS,PENDING_HUMAN
FRV2-E-014,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-014,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-015,overall_judgment,LOW_CONCERN,SOME_CONCERNS,SOME_CONCERNS,PENDING_HUMAN
FRV2-E-015,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-015,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-016,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-016,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-017,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-017,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-018,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-018,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-019,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-019,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-023,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-E-023,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-001,youth_directness,PARTIAL,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-001,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-002,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
FRV2-F-005,youth_directness,PARTIAL,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-005,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-006,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-F-007,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-007,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-008,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-009,youth_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-009,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-010,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-010,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-011,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-013,overall_judgment,LOW_CONCERN,SOME_CONCERNS,SOME_CONCERNS,PENDING_HUMAN
FRV2-F-013,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-013,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-014,overall_judgment,LOW_CONCERN,SOME_CONCERNS,SOME_CONCERNS,PENDING_HUMAN
FRV2-F-014,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-014,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-015,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-F-016,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-006,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-007,youth_directness,PARTIAL,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-007,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-008,youth_directness,PARTIAL,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-008,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-009,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-010,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-G-010,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-011,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-012,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-013,overall_judgment,LOW_CONCERN,SOME_CONCERNS,SOME_CONCERNS,PENDING_HUMAN
FRV2-G-013,youth_directness,PARTIAL,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-013,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
FRV2-G-014,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
FRV2-G-016,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
FRV2-G-017,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
FRV2-G-021,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
FRV2-G-022,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-G-022,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-G-022,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-DOI-10.1136-BMJ.H1793,overall_judgment,LOW_CONCERN,SOME_CONCERNS,SOME_CONCERNS,PENDING_HUMAN
SRC-DOI-10.1136-BMJ.H1793,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-10907753,overall_judgment,NOT_ASSESSABLE,SOME_CONCERNS,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-10907753,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-12741870,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-17149987,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-23134196,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
SRC-PMID-23838975,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-25976398,overall_judgment,NOT_ASSESSABLE,SOME_CONCERNS,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-25976398,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-26084524,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-27300278,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
SRC-PMID-28054257,youth_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-28054257,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-28463642,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-29163016,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-29712629,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-29712629,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-30131714,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
SRC-PMID-30160557,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
SRC-PMID-31024338,overall_judgment,HIGH_CONCERN,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-31024338,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-31024338,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
SRC-PMID-31802956,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
SRC-PMID-31820260,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-32407361,overall_judgment,SOME_CONCERNS,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-32502973,youth_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-32991706,overall_judgment,SOME_CONCERNS,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-32991706,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-33122252,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
SRC-PMID-33122252,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-34021488,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-34021488,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
SRC-PMID-34052983,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-34062089,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-34062089,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
SRC-PMID-34250468,youth_directness,PARTIAL,DIRECT,PARTIAL,PENDING_HUMAN
SRC-PMID-34749417,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-34749417,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
SRC-PMID-34767655,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-35299664,overall_judgment,SOME_CONCERNS,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-35299664,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
SRC-PMID-35418513,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-35418513,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
SRC-PMID-35721873,overall_judgment,SOME_CONCERNS,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-35721873,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-36086887,overall_judgment,NOT_ASSESSABLE,HIGH_CONCERN,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-36086887,youth_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-36370207,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-37285051,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-37435592,overall_judgment,SOME_CONCERNS,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-37752011,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-37752011,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-37776346,overall_judgment,SOME_CONCERNS,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-38627351,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-38662890,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-39197945,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-PMID-39888556,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
SRC-PMID-40016936,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-40566441,overall_judgment,SOME_CONCERNS,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-40596578,overall_judgment,SOME_CONCERNS,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-40596578,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-PMID-41048235,overall_judgment,SOME_CONCERNS,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-41312139,overall_judgment,SOME_CONCERNS,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
SRC-PMID-7649149,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
SRC-WEB-COCHRANE-HB-CH14,overall_judgment,LOW_CONCERN,SOME_CONCERNS,SOME_CONCERNS,PENDING_HUMAN
SRC-WEB-COCHRANE-HB-CH14,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-WEB-HHS-HIPAA-DEID,overall_judgment,LOW_CONCERN,SOME_CONCERNS,SOME_CONCERNS,PENDING_HUMAN
SRC-WEB-HHS-HIPAA-DEID,youth_directness,INDIRECT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
SRC-WEB-HHS-HIPAA-DEID,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
SRC-WEB-PRISMA-2020,overall_judgment,LOW_CONCERN,SOME_CONCERNS,SOME_CONCERNS,PENDING_HUMAN
SRC-WEB-PRISMA-2020,architecture_directness,NOT_APPLICABLE,INDIRECT,NOT_VERIFIED,PENDING_HUMAN
